都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,緯度,経度,設置者,電話番号,内線番号,SSID,提供エリア,URL,備考
270008,,大阪府,,美容室ハナフサ,,Hair Salon hanafusa,大阪府四條畷市 南野１丁目１５－１９,,34.7322803,135.6434581,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,矢作神社,,Yahagi Jinja,大阪府八尾市 南本町６丁目６－７２,,34.6185703,135.60765,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,かすうどん・かすまる,,Kasu Udon Kasumaru,大阪府池田市 槻木町７－１１ 津田ビル１階,,34.82461,135.4239972,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,ファースト,,First,大阪府大阪市中央区 西心斎橋１丁目５－１６,,34.6721175,135.499555,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,とんべえ,,Tombe,大阪府大阪市中央区 難波１丁目６－１６ 富士商行ナンバ新地ビル２階,,34.6680714,135.5015081,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,Ｆｌａｐ・ｈａｉｒａｎｄｎａｉｌ,,Flap hairandnail,大阪府池田市 井口堂１丁目８－２４ アジュール井口堂１階,,34.8119592,135.4424353,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,くるまやカーズ,,KURUMAYA CARS,大阪府摂津市 昭和園７－２７,,34.7901378,135.5582953,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,トリミングサロン　ジル,,Trimming Salon for Dog Jill,大阪府大阪市中央区 内久宝寺町４丁目４－３ 日宝パールビル１Ｆ５号,,34.6791475,135.5126567,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,デイサービスセンタールピナス豊中,,Day Service Center Lupinus Toyonaka,大阪府豊中市 上野東２丁目１９－１０,,34.7936144,135.4779661,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,社会福祉法人きぼうの会　きぼうの風,,Social Welfare Corporation Kibonokai Kibonokaze,大阪府堺市中区 東山１０７－２,,34.5257311,135.5032914,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,はやぶさ薬局阪神千鳥橋店,,Hayabusa Drugstore Hanshinchidoribashi Store,大阪府大阪市此花区 四貫島１丁目１－４３ 阪神千鳥橋店,,34.6855322,135.4584508,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,ジール,,Zeal,大阪府貝塚市 西町１５－９,,34.4486933,135.3547647,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,東京屋,,Tokyoya,大阪府大阪市北区 天神橋６丁目６－１７ 東京屋方,,34.7095531,135.5111394,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,スポーツサイクルＤＡＩＫＯＳＨＩ,,Sports Cycle DAIKOSHI,大阪府東大阪市 中小阪２丁目１２－１,,34.6603656,135.5877614,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,リラックスアンドレクリエーションルーム,,Relax & Recreation Room,大阪府大阪市淀川区 宮原２丁目１３－１ サンパレス新大阪１０１号,,34.7390706,135.4993256,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,シャーウッドアーチェリー商会,,Sherwood Archery Company,大阪府大阪市北区 鶴野町２－８ 鶴野ビル４階,,34.7069633,135.5008542,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,Ｃａｆｅ＆ＢａｒＳｉｎｇ,,Cafe & BarSing,大阪府大阪市西成区 津守１丁目３－９,,34.646415,135.4854097,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,サーレアンドペペ,,Sale & Pepe,大阪府大阪市福島区 福島６丁目３－１１ 関西将棋会館１階,,34.6988864,135.4873833,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,ｃａｒｏ,,caro,大阪府大阪市北区 曾根崎新地１丁目３－３２,,34.6975953,135.4970736,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,矢柄温泉,,Yagara Onsen,大阪府大阪市生野区 巽東１丁目７－１６,,34.6510597,135.5565617,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,汐の湯温泉,,Shionoyu Onsen,大阪府豊能郡能勢町 森上３１７,,34.9613211,135.3989258,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,シャルム（Ｃｈａｌｍ）,,Chalm,大阪府高槻市 土室町３－４,,34.8499844,135.5838283,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,株式会社ハレルヤ土井洋服店,,Hallelujah Doi Clothing Shop Co.CANMA Ltd.,大阪府大阪市阿倍野区 昭和町２丁目２０－１２,,34.6301222,135.5189378,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,ダイドーインドアテニスクラブ,,Daido Indoor Tennis Club,大阪府大阪市東淀川区 大桐５丁目１９－４４,,34.7517294,135.5517458,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,リヴォリ,,Rivoli,大阪府大阪市中央区 平野町１丁目８－５ 壱番館ビル１０１号,,34.6877517,135.5074156,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,坂井カレー,,Sakai Curry,大阪府大阪市北区 西天満３丁目６－２２ 北大阪屋ビル　１階７号,,34.6975117,135.5081211,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,素盞烏尊神社,,Susanoomikoto Shrine,大阪府大阪市北区 大淀南３丁目３－２５,,34.7008389,135.4833033,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,株式会社インデックスプラン,,Index Plan Co.CANMA Ltd.,大阪府大阪市西区 立売堀２丁目５－４１ 合田ビル　７０３号,,34.6791692,135.4920139,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,渡瀬歯科医院,,Watase Dental Clinic,大阪府大阪市福島区 吉野３丁目１１－６,,34.6899458,135.4740647,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,株式会社ドロッグス,,Dlogs Inc.,大阪府大阪市北区 天神橋４丁目９－１３,,34.7053861,135.5112894,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,古市たいよう保育園,,Furuichi Taiyo Nursery School,大阪府大阪市城東区 古市１丁目１６－１２,,34.7056367,135.5589669,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,福島市場株式会社,,Fukushima Ichiba Co.CANMA Ltd.,大阪府大阪市福島区 福島７丁目１１－５１ 福島市場　２階,,34.6983003,135.4861525,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
