WT,600 nM,300 nM,150 nM,75 nM
82.4,0.11025986,0.08762554,0.06314686,0.04493052
82.6,0.11058909,0.08756505,0.06299652,0.04523817
82.8,0.11087679,0.08773462,0.06286188,0.04543613
83.0,0.11098803,0.08814527,0.06284762,0.04547557
83.2,0.11092227,0.08878971,0.06293924,0.04537159
83.4,0.11071451,0.08946472,0.06313637,0.04522458
83.6,0.11043498,0.09015948,0.06327306,0.04503946
83.8,0.11005195,0.09086401,0.06342878,0.04481922
84.0,0.10954118,0.09148785,0.06349515,0.04465419
84.2,0.10901686,0.09197325,0.06351545,0.04468343
84.4,0.10859354,0.09232554,0.06361813,0.04483014
84.6,0.10820852,0.09247976,0.06396359,0.04508803
84.8,0.10785612,0.09243927,0.06453056,0.04533871
85.0,0.10770199,0.09219935,0.06529298,0.04561298
85.2,0.10777274,0.09184196,0.06609453,0.0458476
85.4,0.10809064,0.09152543,0.06677667,0.04611743
85.6,0.10875376,0.09139411,0.06733679,0.04640146
85.8,0.10974134,0.09143098,0.06771916,0.04669362
86.0,0.11081878,0.09166705,0.06801144,0.04685991
86.2,0.111843,0.09209089,0.06825696,0.04684033
86.4,0.11276591,0.0926112,0.06857288,0.04662277
86.6,0.11347482,0.09314983,0.06878716,0.04630287
86.8,0.11391487,0.09370198,0.06890138,0.04602084
87.0,0.11413764,0.09423442,0.0688946,0.04587235
87.2,0.11414099,0.09472329,0.0687577,0.04587611
87.4,0.11392013,0.0950927,0.06843027,0.04596445
87.6,0.11353417,0.09522234,0.06802943,0.04612199
87.8,0.11323898,0.09511718,0.06771589,0.04633471
88.0,0.11319394,0.09479175,0.06749997,0.04658876
88.2,0.11340018,0.09426139,0.06747433,0.0468536
88.4,0.11371592,0.09367356,0.06761956,0.04705727
88.6,0.11418831,0.09324173,0.06784648,0.04713891
88.8,0.11476855,0.0930689,0.06803364,0.04709313
89.0,0.11539407,0.09324308,0.06814271,0.04698639
89.2,0.11601068,0.09360277,0.06822753,0.04675152
89.4,0.11671753,0.09402372,0.06817844,0.04649301
89.6,0.11733941,0.0943406,0.06810373,0.04621385
